,drug_name,section_name,gpt_output
71,ZERBAXA,warnings and precautions,"decreased efficacy, serious hypersensitivity reactions, anaphylactic reactions, Clostridium difficile-associated diarrhea (CDAD), mild diarrhea, fatal colitis, development of drug-resistant bacteria, death"
72,FERRIPROX,adverse reactions,"chromaturia, nausea, vomiting, abdominal pain, alanine aminotransferase increased, arthralgia, neutropenia, agranulocytosis, elevated ALT, decreased plasma zinc concentrations, diarrhea, dyspepsia, neutrophil count decreased, weight increased, aspartate aminotransferase increased, increased appetite, decreased appetite, back pain, pain in extremity, arthropathy, headache, thrombocytosis, pancytopenia, atrial fibrillation, cardiac failure, hypospadias, diplopia, papilledema, retinal toxicity, enterocolitis, rectal hemorrhage, gastric ulcer, pancreatitis, parotid gland enlargement, chills, pyrexia, edema peripheral, multi-organ failure, jaundice, hepatomegaly, anaphylactic shock, hypersensitivity, cryptococcal cutaneous infection, enteroviral encephalitis, pharyngitis, pneumonia, sepsis, furuncle, infectious hepatitis, rash pustular, subcutaneous abscess, blood bilirubin increased, blood creatinine phosphokinase increased, metabolic acidosis, dehydration, myositis, chondropathy, trismus, cerebellar syndrome, cerebral hemorrhage, convulsion, gait disturbance, intracranial pressure increased, psychomotor skills impaired, pyramidal tract syndrome, somnolence, bruxism, depression, obsessive-compulsive disorder, glycosuria, hemoglobinuria, acute respiratory distress syndrome, epistaxis, hemoptysis, pulmonary embolism, hyperhidrosis, periorbital edema, photosensitivity reaction, pruritis, urticaria, rash, Henoch-Schonlein purpura, hypotension, hypertension"
73,FERRIPROX,boxed warnings,"agranulocytosis, neutropenia, serious infections, death, infection"
74,FERRIPROX,warnings and precautions,"agranulocytosis, neutropenia, infection, fetal harm, embryofetal death, malformations, increased ALT values, increased AST values, decreased plasma zinc concentrations, death"
75,DALVANCE,adverse reactions,"nausea, headache, diarrhea, vomiting, rash, pruritus, anemia, hemorrhagic anemia, leucopenia, neutropenia, thrombocytopenia, petechiae, eosinophilia, thrombocytosis, gastrointestinal hemorrhage, melena, hematochezia, abdominal pain, infusion-related reactions, hepatotoxicity, anaphylactoid reaction, Clostridium difficile colitis, oral candidiasis, vulvovaginal mycotic infection, hepatic transaminases increased, blood alkaline phosphatase increased, international normalized ratio increased, hypoglycemia, dizziness, bronchospasm, urticaria, flushing, phlebitis, wound hemorrhage, spontaneous hematoma"
76,DALVANCE,warnings and precautions,"serious hypersensitivity, anaphylactic reactions, skin reactions, rapid intravenous infusion reactions, ALT elevations, Clostridium difficile-associated diarrhea (CDAD), flushing of the upper body, urticaria, pruritus, rash, liver test abnormalities, ALT elevation, AST elevation, bilirubin elevation, mild diarrhea, fatal colitis, fluid and electrolyte management issues, protein supplementation necessities, development of drug-resistant bacteria, death"
77,ARCAPTA,adverse reactions,"asthma-related death, cough, oropharyngeal pain, nasopharyngitis, headache, nausea, COPD, dyspnea, COPD exacerbation, pneumonia, angina pectoris, atrial fibrillation, muscle spasm, musculoskeletal pain, edema peripheral, diabetes mellitus, hyperglycemia, sinusitis, upper respiratory tract infection, post-inhalation cough, hypersensitivity reactions, paradoxical bronchospasm, tachycardia, heart rate increase, palpitations, pruritus, rash, dizziness, death"
78,ARCAPTA,boxed warnings,"asthma-related death, death"
79,ARCAPTA,warnings and precautions,"acutely deteriorating COPD, cardiovascular effects, fatal, death, immediate hypersensitivity reactions, paradoxical bronchospasm, life-threatening paradoxical bronchospasm, asthma-related death, asthma exacerbation, deterioration of disease, acute episodes, excessive use, cardiovascular effects, cardiac arrhythmias, hypertension, convulsive disorders, thyrotoxicosis, sensitivity to sympathomimetic drugs, hypokalemia, hyperglycemia, ECG changes, flattening of the T wave, prolongation of the QTc interval, ST segment depression, increase in pulse rate, increases in systolic or diastolic blood pressure, difficulties in breathing, swelling of tongue, lips and face, urticaria, skin rash"
80,CERDELGA,adverse reactions,"fatigue, headache, nausea, diarrhea, back pain, pain in extremities, upper abdominal pain, arthralgia, migraine, flatulence, oropharyngeal pain, dizziness, asthenia, cough, dyspepsia, gastroesophageal reflux disease, constipation, palpitations, rash"
81,CERDELGA,warnings and precautions,"ECG Changes, Potential for Cardiac Arrhythmias, prolongation of the PR interval, prolongation of the QTc interval, prolongation of the QRS interval, cardiac arrhythmias, congestive heart failure, acute myocardial infarction, bradycardia, heart block, ventricular arrhythmia, long QT syndrome"
82,GADAVIST,adverse reactions,"Nephrogenic Systemic Fibrosis (NSF), Hypersensitivity reactions, Anaphylactic shock, Respiratory arrest, Pulmonary edema, Bronchospasm, Cyanosis, Oropharyngeal swelling, Laryngeal edema, Blood pressure increased, Chest pain, Angioedema, Conjunctivitis, Hyperhidrosis, Cough, Sneezing, Burning sensation, Pallor, Headache, Nausea, Dizziness, Dysgeusia, Feeling Hot, Injection site reactions, Vomiting, Rash, Pruritus, Erythema, Hypotension, Urticaria, Face edema, Eyelid edema, Flushing, Dyspnea, Paresthesia, Loss of consciousness, Convulsion, Parosmia, Tachycardia, Palpitation, Dry mouth, Malaise, Feeling cold, Cardiac arrest, death"
83,GADAVIST,boxed warnings,"Nephrogenic Systemic Fibrosis (NSF), fatal, debilitating fibrosis, skin fibrosis, muscle fibrosis, internal organ fibrosis, Chronic severe kidney disease, Acute kidney injury, reduced renal function, death."
84,GADAVIST,warnings and precautions,"Nephrogenic Systemic Fibrosis, impaired elimination of GBCAs, higher than recommended dosing, repeated dosing, anaphylactic reactions, hypersensitivity reactions, cardiovascular manifestations, respiratory manifestations, cutaneous manifestations, mild reactions, severe reactions, death, chronic severe kidney disease, acute kidney injury, debilitating fibrosis, skin fibrosis, muscle fibrosis, internal organ fibrosis, rapid decrease in kidney function, surgery-induced kidney toxicity, severe infection-induced kidney toxicity, injury-induced kidney toxicity, drug-induced kidney toxicity, chronically reduced renal function, NSF risk increase with repeated/higher doses, recommended dose excess, acute kidney injury requiring dialysis, moderate irritation due to extravasation, overestimation of extent of malignant disease."
85,ZYKADIA,adverse reactions,"Severe or Persistent Gastrointestinal Toxicity, Hepatotoxicity, Interstitial Lung Disease/Pneumonitis, QT Interval Prolongation, Hyperglycemia, Bradycardia, Pancreatitis, diarrhea, nausea, elevated transaminases, vomiting, abdominal pain, fatigue, decreased appetite, constipation, dose reductions, increased ALT, increased AST, convulsion, pneumonia, ILD/pneumonitis, dyspnea, dehydration, respiratory failure, pneumothorax, gastric hemorrhage, general physical health deterioration, pulmonary tuberculosis, cardiac tamponade, sepsis, neuropathy (paresthesia, muscular weakness, gait disturbance, peripheral neuropathy, hypoesthesia, peripheral sensory neuropathy, dysesthesia, neuralgia, peripheral motor neuropathy, hypotonia, polyneuropathy), vision disorder (vision impairment, blurred vision, photopsia, accommodation disorder, presbyopia, reduced visual acuity), prolonged QT interval, hemoglobin decreased, creatinine increased, glucose increased, phosphate decreased, lipase increased, bilirubin increased, death"
86,ZYKADIA,warnings and precautions,"diarrhea, nausea, vomiting, abdominal pain, hepatotoxicity, liver laboratory tests, Interstitial Lung Disease (ILD), Pneumonitis, QT Interval Prolongation, Hyperglycemia, Bradycardia, Pancreatitis, death, Embryofetal Toxicity, elevated transaminases, jaundice, elevations in alanine aminotransferase (ALT), elevations in total bilirubin, ventricular tachyarrhythmias, Torsade de pointes, sudden death, elevate lipase, elevate amylase, skeletal anomalies."
87,XALKORI,adverse reactions,"hepatotoxicity, interstitial lung disease, pneumonitis, QT interval prolongation, bradycardia, severe visual loss, vision disorders, diarrhea, nausea, vomiting, constipation, edema, elevated transaminases, upper respiratory infection, decreased appetite, dysgeusia, dyspnea, pulmonary embolism, septic shock, acute respiratory failure, diabetic ketoacidosis, death, nausea, hepatotoxicity, ILD, abdominal pain, pyrexia, weight increased, pain in extremity, muscle spasm, dizziness, headache, fatigue, neuropathy, rash, renal cyst, syncope, gait disturbance, hypoaesthesia, muscular weakness, neuralgia, neuropathy peripheral, paraesthesia, peripheral sensory neuropathy, polyneuropathy, sensory disturbance, acute respiratory distress syndrome, arrhythmia, dyspnea, pneumonia, pneumonitis, respiratory failure, sepsis, asthenia, weight decreased, hypokalemia, hypophosphatemia, neutropenia, lymphopenia, ALT elevation, AST elevation, dysesthesia, hypoesthesia, peripheral neuropathy, parasthesia, burning sensation in skin, hepatic failure"
88,XALKORI,warnings and precautions,"hepatotoxicity, fatal hepatotoxicity, death, Interstitial Lung Disease, ILD, Pneumonitis, QT Interval Prolongation, Bradycardia, Severe Visual Loss, Embryofetal Toxicity, concurrent elevations in ALT and AST, elevation in ALT, elevation in AST, transaminase elevations, elevated transaminases, liver function tests abnormalities, Hepatotoxicity with fatal outcome, QTc prolongation, Grade 3 or 4 ILD, fatal ILD, QTcF greater than or equal to 500 ms, ECG changes, congestive heart failure, bradyarrhythmias, electrolyte abnormalities, Torsade de pointes, polymorphic ventricular tachycardia, heart rate less than 50 beats per minute, Grade 3 syncope, symptomatic bradycardia, life-threatening bradycardia, optic atrophy, optic nerve disorder, vision loss, embryotoxicity, fetotoxicity"
89,BEPREVE,adverse reactions,"mild taste following instillation, eye irritation, headache, nasopharyngitis, hypersensitivity reactions, itching, body rash, swelling of lips, tongue and/or throat"
90,BEPREVE,warnings and precautions,"contamination, contact lens-related irritation"
91,EDARBI,adverse reactions,"diarrhea, hypotension, orthostatic hypotension, nausea, asthenia, fatigue, muscle spasm, dizziness, dizziness postural, cough, serum creatinine increases, low hemoglobin, low hematocrit, low RBC counts, abnormal platelet counts, abnormal WBC counts, rash, pruritus, angioedema"
92,EDARBI,boxed warnings,"fetal toxicity, injury, death"
93,EDARBI,warnings and precautions,"fetal toxicity, fetal renal function reduction, fetal and neonatal morbidity, death, oligohydramnios, fetal lung hypoplasia, skeletal deformations, skull hypoplasia, anuria, hypotension, renal failure, symptomatic hypotension, oliguria, progressive azotemia, acute renal failure, increases in serum creatinine, increases in blood urea nitrogen"
94,POTIGA,adverse reactions,"retinal abnormalities, potential vision loss, urinary retention, skin discoloration, neuropsychiatric symptoms, dizziness, somnolence, QT interval effect, suicidal behavior, ideation, withdrawal seizures, fatigue, confusional state, vertigo, tremor, abnormal coordination, diplopia, disturbance in attention, memory impairment, asthenia, blurred vision, gait disturbance, aphasia, dysarthria, balance disorder, nausea, constipation, dyspepsia, influenza, weight increased, paresthesia, amnesia, dysphasia, anxiety, disorientation, psychotic disorder, dysuria, urinary hesitation, hematuria, chromaturia, increased appetite, hallucinations, myoclonus, peripheral edema, hypokinesia, dry mouth, dysphagia, hyperhydrosis, malaise, increased liver enzymes, rash, nystagmus, dyspnea, leukopenia, muscle spasms, alopecia, nephrolithiasis, syncope, neutropenia, thrombocytopenia, euphoric mood, renal colic, coma, encephalopathy"
95,POTIGA,boxed warnings,"retinal abnormalities, vision loss, damage to the photoreceptors, abnormal visual acuity, decreased visual acuity, progression of retinal abnormalities, reversibility unknown"
96,POTIGA,warnings and precautions,"urinary retention, skin discoloration, neuropsychiatric symptoms, confusional state, psychotic symptoms, hallucinations, dizziness, somnolence, QT prolongation, suicidal thoughts, suicidal behaviors, retinal abnormalities, potential vision loss, perivascular pigmentation, retinal pigment epithelium clumping, abnormal visual acuity, retinal dystrophy, electroretinogram abnormalities, electrooculogram abnormalities, abnormal fluorescein angiography, diminished sensitivity on visual field testing, hydronephrosis, renal function impairment, dysuria, blue skin discoloration, grey-blue skin discoloration, brown skin discoloration, widespread skin discoloration, discoloration of the palate, discoloration of the sclera, discoloration of conjunctiva, psychosis, urinary hesitation, withdrawal seizures"
97,TUDORZA,adverse reactions,"paradoxical bronchospasm, worsening of narrow-angle glaucoma, worsening of urinary retention, immediate hypersensitivity reactions, headache, nasopharyngitis, cough, diarrhea, sinusitis, rhinitis, toothache, fall, vomiting, diabetes mellitus, dry mouth, 1st degree AV block, osteoarthritis, cardiac failure, cardio-respiratory arrest, anaphylaxis, angioedema, urticaria, rash, itching, death"
98,TUDORZA,warnings and precautions,"paradoxical bronchospasm, worsening of narrow-angle glaucoma, worsening of urinary retention, immediate hypersensitivity reactions, anaphylaxis, angioedema, urticaria, rash, bronchospasm, itching"
99,PROMACTA,adverse reactions,"Hepatic Decompensation, Hepatotoxicity, Thrombotic/Thromboembolic Complications, Cataracts, nausea, diarrhea, upper respiratory tract infection, vomiting, increased ALT, myalgia, urinary tract infection, nasopharyngitis, rhinitis, anemia, pyrexia, fatigue, headache, decreased appetite, influenza-like illness, asthenia, insomnia, cough, pruritus, chills, alopecia, peripheral edema, hemorrhage, bleeding, oropharyngeal pain, increased AST, pharyngitis, back pain, influenza, paresthesia, rash, alopecia, musculoskeletal pain, blood alkaline phosphatase increased, dry mouth, hyperbilirubinemia, cataract, serum liver test abnormalities, hepatobiliary laboratory abnormalities, portal vein thromboses, abdominal pain, toothache, AST increased, vitamin D deficiency, ALT increased, ecchymosis, muscle spasms, arthralgia, rhinorrhea, pain in extremity, dyspnea, dizziness, febrile neutropenia, abdominal pain, transaminases increased, cytogenetic abnormalities, thrombotic microangiopathy with acute renal failure, death"
100,PROMACTA,boxed warnings,hepatic decompensation
101,PROMACTA,warnings and precautions,"hepatotoxicity, thrombotic/thromboembolic complications, portal vein thrombosis, hepatic decompensation, ascites, encephalopathy, liver enzyme elevations, indirect hyperbilirubinemia, increased direct bilirubin, clinical symptoms of liver injury, hepatic decompensation, thrombotic event, venous and arterial events, cataracts, abdominal pain, nausea, vomiting, diarrhea."
102,INLYTA,adverse reactions,"hypertension, arterial thromboembolic events, venous thromboembolic events, hemorrhage, cardiac failure, gastrointestinal perforation, fistula formation, thyroid dysfunction, wound healing complications, RPLS, proteinuria, elevation of liver enzymes, hepatic impairment, fetal development, diarrhea, fatigue, decreased appetite, nausea, dysphonia, palmar-plantar erythrodysesthesia syndrome, weight decreased, vomiting, asthenia, constipation, hypothyroidism, cough, mucosal inflammation, arthralgia, stomatitis, dyspnea, abdominal pain, headache, pain in extremity, rash, dysgeusia, dry skin, dyspepsia, pruritus, alopecia, erythema, dizziness, upper abdominal pain, myalgia, dehydration, epistaxis, anemia, hemorrhoids, hematuria, tinnitus, lipase increased, glossodynia, pulmonary embolism, rectal hemorrhage, hemoptysis, deep vein thrombosis, retinal-vein occlusion/thrombosis, polycythemia, transient ischemic attack, hemoglobin decreased, lymphocytes decreased, platelets decreased, white blood cells decreased, creatinine increased, bicarbonate decreased, hypocalcemia, ALP increased, hyperglycemia, amylase increased, ALT increased, AST increased, hypernatremia, hypoalbuminemia, hyperkalemia, hypoglycemia, hyponatremia, hypophosphatemia, hemoglobin increased, hypercalcemia"
103,INLYTA,warnings and precautions,"hypertension, hypertensive crisis, arterial thrombotic events, venous thrombotic events, hemorrhagic events, cardiac failure, gastrointestinal perforation, fistula formation, hypothyroidism, thyroid hormone replacement, Reversible Posterior Leukoencephalopathy Syndrome (RPLS), proteinuria, liver enzyme elevation, fetal harm, death"
104,NORTHERA,adverse reactions,"Supine Hypertension, Hyperpyrexia, Confusion, exacerbate existing ischemic heart disease, arrhythmias, congestive heart failure, Headache, dizziness, nausea, hypertension, fatigue, falls, urinary tract infections, syncope"
105,NORTHERA,boxed warnings,supine hypertension
106,NORTHERA,warnings and precautions,"supine hypertension, cardiovascular events, hyperpyrexia, confusion, symptoms exacerbation in ischemic heart disease, arrhythmias exacerbation, congestive heart failure exacerbation, allergic reactions, bronchial asthma, neuroleptic malignant syndrome (NMS), fever, hyperthermia, muscle rigidity, involuntary movements, altered consciousness, mental status changes, death"
107,JARDIANCE,adverse reactions,"hypotension, Impairment in Renal Function, Hypoglycemia, Genital Mycotic Infections, Urinary Tract Infections, Increased Low-Density Lipoprotein Cholesterol (LDL-C), urinary tract infection, female genital mycotic infections, asymptomatic bacteriuria, cystitis, vulvovaginal mycotic infection, vaginal infection, vulvitis, vulvovaginal candidiasis, genital infection, genital candidiasis, genitourinary tract infection, vulvovaginitis, cervicitis, urogenital infection fungal, vaginitis bacterial, polyuria, pollakiuria, nocturia, balanoposthitis, balanitis, genital infections fungal, balanitis candida, scrotal abscess, penile infection, Upper respiratory tract infection, Increased urination, Dyslipidemia, Arthralgia, Nausea, Thirst, Volume Depletion, dehydration, hypovolemia, orthostatic hypotension, syncope, Impairment in Renal Function, serum creatinine increase, eGFR decrease, Hypoglycemia, phimosis, Increase in Low-Density Lipoprotein Cholesterol, Increase in Hematocrit"
108,JARDIANCE,warnings and precautions,"hypotension, impairment in renal function, hypoglycemia, genital mycotic infections, urinary tract infections, increased LDL-C"
109,FANAPT,adverse reactions,"dizziness, dry mouth, fatigue, nasal congestion, orthostatic hypotension, somnolence, tachycardia, weight increased, arthralgia, musculoskeletal stiffness, vision blurred, nausea, diarrhea, abdominal discomfort, nasopharyngitis, upper respiratory tract infection, extrapyramidal disorder, tremor, lethargy, ejaculation failure, dyspnea, rash, hypotension, akathisia, bradykinesia, dyskinesia, dystonia, parkinsonism, palpitations, arrhythmia, atrioventricular block first degree, cardiac failure, congestive cardiac failure, acute cardiac failure, vertigo, tinnitus, hypothyroidism, conjunctivitis, allergic conjunctivitis, dry eye, blepharitis, eyelid edema, eye swelling, lenticular opacities, cataract, hyperemia, conjunctival hyperemia, gastritis, salivary hypersecretion, fecal incontinence, mouth ulceration, aphthous stomatitis, duodenal ulcer, hiatus hernia, hyperchlorhydria, lip ulceration, reflux esophagitis, stomatitis, edema, general edema, pitting edema, edema due to cardiac disease, difficulty in walking, thirst, hyperthermia, cholelithiasis, weight decreased, hemoglobin decreased, neutrophil count increased, hematocrit decreased, increased appetite, dehydration, hypokalemia, fluid retention, myalgia, muscle spasms, torticollis, paresthesia, psychomotor hyperactivity, restlessness, amnesia, nystagmus, restless legs syndrome, restlessness, aggression, delusion, hostility, libido decreased, paranoia, anorgasmia, confusional state, mania, catatonia, mood swings, panic attack, obsessive-compulsive disorder, bulimia nervosa, delirium, polydipsia psychogenic, impulse-control disorder, major depression, urinary incontinence, dysuria, pollakiuria, enuresis, nephrolithiasis, urinary retention, renal failure acute, erectile dysfunction, testicular pain, amenorrhea, breast pain, menstruation irregular, gynecomastia, menorrhagia, metrorrhagia, postmenopausal hemorrhage, prostatitis, epistaxis, asthma, rhinorrhea, sinus congestion, nasal dryness, dry throat, sleep apnea syndrome, dyspnea exertional, retrograde ejaculation, iron deficiency anemia, leukopenia, anemia."
110,FANAPT,boxed warnings,"increased mortality, death, dementia-related psychosis, cardiovascular events, heart failure, sudden death, infectious events, pneumonia"
111,FANAPT,warnings and precautions,"death, cerebrovascular-related adverse events, stroke, QT prolongation, arrhythmia, sudden death, Neuroleptic Malignant Syndrome (NMS), tardive dyskinesia, hyperglycemia, diabetes mellitus, polydipsia, polyuria, polyphagia, weakness, dyslipidemia, undesirable alterations, weight gain, metabolic changes, seizures, orthostatic hypotension, dizziness, tachycardia, syncope, leukopenia, neutropenia, agranulocytosis, suicide, priapism, cognitive impairment, motor impairment, hyperprolactinemia, galactorrhea, amenorrhea, gynecomastia, impotence, decreased bone density, mammary gland proliferative changes, body temperature regulation disruption, dysphagia, aspiration pneumonia, somnolence, sedation"
112,TANZEUM,adverse reactions,"Risk of Thyroid C-cell Tumors, Acute Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, upper respiratory tract infection, diarrhea, nausea, injection site reaction, cough, back pain, arthralgia, sinusitis, influenza, vomiting, gastroesophageal reflux disease, dyspepsia, constipation, injection site hematoma, injection site erythema, injection site rash, injection site hypersensitivity, injection site hemorrhage, injection site pruritus, pneumonia, Atrial Fibrillation/Flutter, Appendicitis, Immunogenicity, Liver Enzyme Abnormalities, Gamma Glutamyltransferase (GGT) Increase, Heart Rate Increase"
113,TANZEUM,boxed warnings,"thyroid C-cell tumors, medullary thyroid carcinoma (MTC), mass in the neck, dysphagia, dyspnea, persistent hoarseness, Multiple Endocrine Neoplasia syndrome type 2 (MEN 2)"
114,TANZEUM,warnings and precautions,"thyroid C-cell tumors, pancreatitis, hypoglycemia, hypersensitivity reactions, renal impairment,acute pancreatitis, severe abdominal pain, vomiting, pruritus, rash, dyspnea, acute renal failure, worsening of chronic renal failure, nausea, diarrhea, dehydration."
115,EYLEA,adverse reactions,"Endophthalmitis, retinal detachments, Increased intraocular pressure, Thromboembolic events, death, conjunctival hemorrhage, eye pain, cataract, vitreous floaters, vitreous detachment, Ocular hyperemia, Corneal epithelium defect, Detachment of the retinal pigment epithelium, Injection site pain, Foreign body sensation in eyes, Lacrimation increased, Vision blurred, Intraocular inflammation, Retinal pigment epithelium tear, Injection site hemorrhage, Eyelid edema, Corneal edema, hypersensitivity, retinal tear, corneal edema, injection site hemorrhage."
116,EYLEA,warnings and precautions,"endophthalmitis, retinal detachments, increases in intraocular pressure, arterial thromboembolic events, nonfatal stroke, nonfatal myocardial infarction, vascular death, death"
117,JEVTANA,adverse reactions,"Bone Marrow Suppression, Hypersensitivity Reactions, Gastrointestinal Adverse Reactions, Renal Failure, Embryo-Fetal Toxicity, Neutropenia, Anemia, Leukopenia, Thrombocytopenia, Diarrhea, Fatigue, Nausea, Vomiting, Constipation, Asthenia, Abdominal Pain, Hematuria, Back Pain, Anorexia, Peripheral Neuropathy, Pyrexia, Dyspnea, Dysgeusia, Cough, Arthralgia, Alopecia, Infections, Renal Failure, Ventricular Fibrillation, Cerebral Hemorrhage, Dyspnea, Cardiac Arrhythmia, Dyspepsia, Peripheral Edema, Mucosal Inflammation, Pain, Urinary Tract Infection, Weight Decreased, Dehydration, Muscle Spasms, Dizziness, Headache, Dysuria, Hypotension, Sepsis, Septic Shock, Gastritis, Intestinal Obstruction, death."
118,JEVTANA,boxed warnings,"neutropenia, neutropenic deaths, death, hypersensitivity, generalized rash/erythema, hypotension, bronchospasm, severe hypersensitivity reactions."
119,JEVTANA,warnings and precautions,"bone marrow suppression, neutropenia, febrile neutropenia, neutropenic infections, anemia, thrombocytopenia, pancytopenia, neutropenic deaths, sepsis, septic shock, grade 3-4 neutropenia, hypersensitivity reactions, generalized rash/erythema, hypotension, bronchospasm, nausea, vomiting, severe diarrhea, diarrhea-related mortality, gastrointestinal hemorrhage, gastrointestinal perforation, ileus, enterocolitis, neutropenic enterocolitis, abdominal pain, tenderness, persistent constipation, renal failure, renal failure with fatal outcomes, fetal harm, embryotoxicity, fetotoxicity, abortifacient, death"
120,YERVOY,adverse reactions,"immune-mediated enterocolitis, immune-mediated hepatitis, immune-mediated dermatitis, immune-mediated neuropathies, immune-mediated endocrinopathies, ocular manifestations, fatigue, diarrhea, pruritus, rash, colitis, Hepatotoxicity, Dermatitis, Neuropathy, Endocrinopathy, Hypopituitarism, Adrenal insufficiency, Pneumonitis, Meningitis, Nephritis, Eosinophilia, Pericarditis, urticaria, large intestinal ulcer, esophagitis, acute respiratory distress syndrome, renal failure, infusion reaction, Drug reaction with eosinophilia and systemic symptoms (DRESS syndrome), death"
121,YERVOY,boxed warnings,"enterocolitis, hepatitis, dermatitis, toxic epidermal necrolysis, neuropathy, endocrinopathy, immune-mediated adverse reactions, severe immune-mediated adverse reactions, fatal immune-mediated adverse reactions, T-cell activation and proliferation, death"
122,YERVOY,warnings and precautions,"severe immune-mediated reactions, fatal immune-mediated reactions, severe reactions, moderate immune-mediated adverse reactions, immune-mediated hepatitis, liver function test abnormalities, immune-mediated endocrinopathies, thyroid function test abnormalities, immune-mediated enterocolitis, severe enterocolitis, life-threatening enterocolitis, fatal enterocolitis, moderate enterocolitis, intestinal perforation, complications leading to death, hospitalization for severe enterocolitis, fever, ileus, peritoneal signs, diarrhea, abdominal pain, mucus in stool, blood in stool, hepatotoxicity, fatal hepatic failure, hospitalization for hepatotoxicity, AST elevations, ALT elevations, total bilirubin elevations, immune-mediated dermatitis, toxic epidermal necrolysis, Stevens-Johnson syndrome, rash complicated by full thickness dermal ulceration, necrotic dermatitis, bullous dermatitis, hemorrhagic dermatitis, dermatitis requiring hospitalization, severe dermatitis, moderate dermatitis, rash, pruritus, immune-mediated neuropathies, fatal Guillain-Barre syndrome, severe peripheral motor neuropathy, motor neuropathy, sensory neuropathy, paresthesia, weakness, immune-mediated endocrinopathies requiring hospitalization, urgent medical intervention, hypopituitarism, adrenal insufficiency, hypogonadism, hypothyroidism, hyperthyroidism, Cushing's syndrome, nephritis, pneumonitis, meningitis, pericarditis, uveitis, iritis, hemolytic anemia, myocarditis, angiopathy, temporal arteritis, vasculitis, polymyalgia rheumatica, conjunctivitis, blepharitis, episcleritis, scleritis, leukocytoclastic vasculitis, erythema multiforme, psoriasis, pancreatitis, arthritis, autoimmune thyroiditis, sarcoidosis, neurosensory hypoacusis, autoimmune central neuropathy (encephalitis), myositis, polymyositis, ocular myositis, immune-mediated ocular disease, death."
123,FARXIGA,adverse reactions,"Hypotension, Impairment in Renal Function, Hypoglycemia, Genital Mycotic Infections, Increases in Low-Density Lipoprotein Cholesterol (LDL-C), Bladder Cancer, Nasopharyngitis, Urinary Tract Infections, Back Pain, Increased Urination, Nausea, Influenza, Dyslipidemia, Constipation, Discomfort with Urination, Pain in Extremity, Volume Depletion (including reports of dehydration, hypovolemia, orthostatic hypotension, hypotension), Renal Failure, Increases in Serum Creatinine, Decreases in eGFR, Renal Impairment-Related Adverse Reactions, Blood Creatinine Increase, Bone Fractures, Asthenia, Hypersensitivity Reactions (e.g., angioedema, urticaria, hypersensitivity, anaphylactic reactions, severe cutaneous adverse reactions), Increase in Hematocrit, Increase in Serum Inorganic Phosphorus."
124,FARXIGA,warnings and precautions,"hypotension, renal function impairment, hypoglycemia, genital mycotic infections, increased LDL-C, bladder cancer, death"
125,PICATO,adverse reactions,"local skin reactions, application site pain, application site pruritus, application site irritation, application site infection, periorbital edema, nasopharyngitis, headache, erythema, flaking/scaling, crusting, swelling, vesiculation/pustulation, erosion/ulceration, eyelid edema, eye pain, conjunctivitis, hypersensitivity, allergic contact dermatitis, herpes zoster, chemical conjunctivitis, corneal burn"
126,PICATO,warnings and precautions,"eye disorders, severe eye pain, chemical conjunctivitis, corneal burn, eyelid edema, eyelid ptosis, periorbital edema, local skin reactions, vesiculation/pustulation, erosion/ulceration, hypersensitivity reactions, anaphylaxis, allergic contact dermatitis, erythema, crusting, swelling"
127,PRISTIQ,adverse reactions,"Hypersensitivity, suicidal thoughts and behaviors, serotonin syndrome, elevated blood pressure, abnormal bleeding, angle closure glaucoma, activation of mania/hypomania, discontinuation syndrome, seizure, hyponatremia, interstitial lung disease, eosinophilic pneumonia, nausea, dizziness, insomnia, hyperhidrosis, constipation, somnolence, decreased appetite, anxiety, specific male sexual function disorders, blood pressure increased, dry mouth, vomiting, fatigue, chills, feeling jittery, decreased appetite, tremor, disturbance in attention, nervousness, abnormal dreams, urinary hesitation, yawning, vision blurred, mydriasis, vertigo, tinnitus, dysgeusia, hot flush, anorgasmia, libido decreased, orgasm abnormal, ejaculation delayed, erectile dysfunction, ejaculation disorder, ejaculation failure, sexual dysfunction, tachycardia, asthenia, weight increased, liver function test abnormal, blood prolactin increased, musculoskeletal stiffness, syncope, convulsion, dystonia, depersonalization, bruxism, urinary retention, rash, alopecia, photosensitivity reaction, angioedema, ischemic cardiac adverse reactions, myocardial ischemia, myocardial infarction, coronary occlusion requiring revascularization, lipid abnormalities, proteinuria, systolic orthostatic hypotension, Stevens-Johnson syndrome, death (if a fatal event is listed)."
128,PRISTIQ,boxed warnings,"suicidal thoughts, behaviors, worsening, emergence of suicidal thoughts and behaviors"
